	Press. drop	Flow		vel			zeta
1	53.0	0.11794444444444445	2.8705164192090042	10.720240993589453
2	46.0	0.1098888888888889	2.7707553590720906	9.986428972966392
3	37.0	0.09919444444444445	2.6324793039746193	8.898576586944571
4	32.7	0.08763888888888889	2.4743989472884276	8.901374186299872
5	25.2	0.07041666666666667	2.2179871324085734	8.537510402450796
6	16.3	0.05236111111111111	1.912606897742331	7.426512538092462
7	11.6	0.03780555555555555	1.6251711458932319	7.319957048810634
8	8.5	0.02886111111111111	1.4199655702401126	7.0260631176500805
9	6.9	0.018	1.12139223200896	9.14497986505904
10	3.4	0.008166666666666666	0.755342124853783	9.932081060188345
