	Press. drop	Flow		vel			zeta
2	50.5	0.0975			2.6098983851651583	12.356427643758703
3	50.5	0.0901111111111111	2.509056627999264	13.369624238468884
4	36.9	0.07597222222222222	2.3038208572657317	11.58717868475742
5	34.7	0.06808333333333333	2.1809298470918574	12.158915275857328
6	30.8	0.0575			2.0042653258540777	12.778769595938833
7	26.3	0.043583333333333335	1.7449440739462767	14.395987922916115
8	22.8	0.035111111111111114	1.5661868650851525	15.491605957430776
10	10.0	0.008472222222222223	0.7693429175829016	28.15845546475769
